date,discharge,month,year,average_percentage,percentile,percentile_range
2007-03-31,26.229,3,2007,0.445,0.750,Above normal
2007-04-30,59.381,4,2007,0.127,0.750,Above normal
2007-05-31,301.964,5,2007,3.735,0.951,High flow
2007-06-30,111.432,6,2007,0.590,0.707,Normal range
2007-07-31,23.176,7,2007,-0.750,0.317,Normal range
2007-08-31,123.483,8,2007,0.706,0.805,Above normal
2007-09-30,31.954,9,2007,-0.687,0.143,Below normal
2007-10-31,147.154,10,2007,1.209,0.860,Above normal
2007-11-30,8.360,11,2007,-0.809,0.390,Normal range
2007-12-31,2.266,12,2007,-0.898,0.357,Normal range
2008-01-31,1.947,1,2008,-0.870,0.366,Normal range
2008-02-29,6.636,2,2008,-0.744,0.548,Normal range
2008-03-31,8.235,3,2008,-0.546,0.550,Normal range
2008-04-30,0.422,4,2008,-0.992,0.125,Low flow
2008-05-31,8.710,5,2008,-0.863,0.390,Normal range
2008-06-30,20.718,6,2008,-0.704,0.293,Normal range
2008-07-31,47.572,7,2008,-0.486,0.390,Normal range
2008-08-31,107.906,8,2008,0.490,0.756,Above normal
2008-09-30,55.518,9,2008,-0.456,0.357,Normal range
2008-10-31,2.168,10,2008,-0.967,0.047,Low flow
2008-11-30,0.425,11,2008,-0.990,0.024,Low flow
2008-12-31,2.178,12,2008,-0.902,0.310,Normal range
2009-01-31,0.389,1,2009,-0.974,0.146,Below normal
2009-02-28,0.623,2,2009,-0.976,0.119,Low flow
2009-03-31,2.391,3,2009,-0.868,0.375,Normal range
2009-04-30,0.204,4,2009,-0.996,0.050,Low flow
2009-05-31,0.197,5,2009,-0.997,0.024,Low flow
2009-06-30,1.817,6,2009,-0.974,0.073,Low flow
2009-07-31,4.631,7,2009,-0.950,0.073,Low flow
2009-08-31,25.817,8,2009,-0.643,0.220,Below normal
2009-09-30,59.394,9,2009,-0.418,0.381,Normal range
2009-10-31,54.641,10,2009,-0.180,0.558,Normal range
2009-11-30,263.788,11,2009,5.015,0.976,High flow
2009-12-31,55.951,12,2009,1.510,0.881,High flow
2010-01-31,9.062,1,2010,-0.396,0.707,Normal range
2010-02-28,324.619,2,2010,11.545,0.976,High flow
2010-03-31,19.596,3,2010,0.079,0.700,Normal range
2010-04-30,7.473,4,2010,-0.858,0.475,Normal range
2010-05-31,5.371,5,2010,-0.916,0.244,Below normal
2010-06-30,8.782,6,2010,-0.875,0.146,Below normal
2010-07-31,172.381,7,2010,0.863,0.805,Above normal
2010-08-31,58.781,8,2010,-0.188,0.512,Normal range
2010-09-30,175.445,9,2010,0.719,0.810,Above normal
2010-10-31,10.093,10,2010,-0.849,0.140,Below normal
2010-11-30,13.156,11,2010,-0.700,0.439,Normal range
2010-12-31,1.923,12,2010,-0.914,0.286,Normal range
2011-01-31,1.268,1,2011,-0.915,0.317,Normal range
2011-02-28,1.006,2,2011,-0.961,0.214,Below normal
2011-03-31,0.607,3,2011,-0.967,0.100,Low flow
2011-04-30,2.808,4,2011,-0.947,0.275,Below normal
2011-05-31,28.255,5,2011,-0.557,0.561,Normal range
2011-06-30,78.802,6,2011,0.124,0.610,Normal range
2011-07-31,17.910,7,2011,-0.806,0.244,Below normal
2011-08-31,95.130,8,2011,0.314,0.659,Normal range
2011-09-30,35.152,9,2011,-0.656,0.214,Below normal
2011-10-31,85.296,10,2011,0.280,0.721,Above normal
2011-11-30,4.864,11,2011,-0.889,0.244,Below normal
2011-12-31,1.004,12,2011,-0.955,0.143,Below normal
2012-01-31,0.258,1,2012,-0.983,0.073,Low flow
2012-02-29,4.083,2,2012,-0.842,0.476,Normal range
2012-03-31,21.841,3,2012,0.203,0.725,Above normal
2012-04-30,42.007,4,2012,-0.203,0.675,Normal range
2012-05-31,2.330,5,2012,-0.963,0.122,Low flow
2012-06-30,18.441,6,2012,-0.737,0.244,Below normal
2012-07-31,67.405,7,2012,-0.271,0.463,Normal range
2012-08-31,39.595,8,2012,-0.453,0.341,Normal range
2012-09-30,18.411,9,2012,-0.820,0.071,Low flow
2012-10-31,61.584,10,2012,-0.076,0.628,Normal range
2012-11-30,2.467,11,2012,-0.944,0.122,Low flow
2012-12-31,2.642,12,2012,-0.881,0.405,Normal range
2013-01-31,6.381,1,2013,-0.575,0.585,Normal range
2013-02-28,37.697,2,2013,0.457,0.762,Above normal
2013-03-31,3.854,3,2013,-0.788,0.425,Normal range
2013-04-30,35.041,4,2013,-0.335,0.625,Normal range
2013-05-31,30.074,5,2013,-0.528,0.585,Normal range
2013-06-30,,6,2013,,,
2013-07-31,,7,2013,,,
2013-08-31,,8,2013,,,
2013-09-30,337.179,9,2013,2.304,0.976,High flow
2013-10-31,35.612,10,2013,-0.465,0.419,Normal range
2013-11-30,68.267,11,2013,0.557,0.780,Above normal
2013-12-31,6.974,12,2013,-0.687,0.619,Normal range
2014-01-31,9.191,1,2014,-0.388,0.732,Above normal
2014-02-28,102.116,2,2014,2.946,0.929,High flow
2014-03-31,48.263,3,2014,1.659,0.875,High flow
2014-04-30,44.640,4,2014,-0.153,0.700,Normal range
2014-05-31,12.480,5,2014,-0.804,0.488,Normal range
2014-06-30,18.400,6,2014,-0.737,0.220,Below normal
2014-07-31,171.915,7,2014,0.858,0.780,Above normal
2014-08-31,76.182,8,2014,0.052,0.561,Normal range
2014-09-30,88.828,9,2014,-0.129,0.571,Normal range
2014-10-31,183.772,10,2014,1.758,0.884,High flow
2014-11-30,83.246,11,2014,0.898,0.805,Above normal
2014-12-31,10.595,12,2014,-0.525,0.667,Normal range
2015-01-31,12.154,1,2015,-0.190,0.829,Above normal
2015-02-28,3.315,2,2015,-0.872,0.405,Normal range
2015-03-31,1.006,3,2015,-0.945,0.250,Below normal
