date,discharge,month,year,average_percentage,percentile,percentile_range
2005-06-30,107.010,6,2005,2.545,0.976,High flow
2005-07-31,19.836,7,2005,-0.303,0.333,Normal range
2005-08-31,3.857,8,2005,-0.844,0.048,Low flow
2005-09-30,8.160,9,2005,-0.724,0.300,Normal range
2005-10-31,3.143,10,2005,-0.859,0.225,Below normal
2005-11-30,2.229,11,2005,-0.805,0.146,Below normal
2005-12-31,0.587,12,2005,-0.953,0.073,Low flow
2006-01-31,10.016,1,2006,0.508,0.780,Above normal
2006-02-28,2.079,2,2006,-0.834,0.488,Normal range
2006-03-31,4.694,3,2006,-0.643,0.610,Normal range
2006-04-30,3.181,4,2006,-0.713,0.452,Normal range
2006-05-31,1.547,5,2006,-0.900,0.095,Low flow
2006-06-30,54.643,6,2006,0.810,0.833,Above normal
2006-07-31,18.512,7,2006,-0.349,0.286,Normal range
2006-08-31,64.443,8,2006,1.613,0.929,High flow
2006-09-30,4.830,9,2006,-0.836,0.125,Low flow
2006-10-31,2.138,10,2006,-0.904,0.150,Below normal
2006-11-30,21.401,11,2006,0.876,0.805,Above normal
2006-12-31,7.024,12,2006,-0.435,0.756,Above normal
2007-01-31,0.193,1,2007,-0.971,0.024,Low flow
2007-02-28,1.868,2,2007,-0.851,0.439,Normal range
2007-03-31,81.372,3,2007,5.196,0.951,High flow
2007-04-30,31.639,4,2007,1.858,0.905,High flow
2007-05-31,31.385,5,2007,1.024,0.857,Above normal
2007-06-30,18.622,6,2007,-0.383,0.452,Normal range
2007-07-31,3.929,7,2007,-0.862,0.095,Low flow
2007-08-31,19.467,8,2007,-0.211,0.452,Normal range
2007-09-30,41.402,9,2007,0.402,0.800,Above normal
2007-10-31,58.785,10,2007,1.646,0.900,High flow
2007-11-30,2.528,11,2007,-0.778,0.171,Below normal
2007-12-31,0.699,12,2007,-0.944,0.122,Low flow
2008-01-31,0.491,1,2008,-0.926,0.171,Below normal
2008-02-29,2.784,2,2008,-0.777,0.561,Normal range
2008-03-31,14.239,3,2008,0.084,0.854,Above normal
2008-04-30,0.494,4,2008,-0.955,0.048,Low flow
2008-05-31,2.375,5,2008,-0.847,0.214,Below normal
2008-06-30,11.809,6,2008,-0.609,0.333,Normal range
2008-07-31,17.287,7,2008,-0.392,0.262,Below normal
2008-08-31,12.675,8,2008,-0.486,0.286,Normal range
2008-09-30,6.194,9,2008,-0.790,0.175,Below normal
2008-10-31,0.966,10,2008,-0.957,0.050,Low flow
